Time,Temp1F,Temp2F,RH,Pres,AccX,AccZ
89158,37.01,36.13,37.42,12.26,1.013,0.347
89662,35.26,36.13,37.42,12.26,1.013,0.362
90166,36.13,36.13,37.26,12.26,1.013,0.347
90670,37.01,35.26,37.10,12.26,1.013,0.347
91173,37.01,36.13,37.42,12.26,1.013,0.347
91677,37.01,36.13,37.10,12.26,1.013,0.347
92181,36.13,36.13,37.10,12.26,1.028,0.362
92685,36.13,36.13,37.42,12.26,1.028,0.347
93189,36.13,36.13,36.79,12.26,1.028,0.347
93692,36.13,36.13,37.42,12.26,1.028,0.347
94195,36.13,36.13,36.94,12.26,1.028,0.347
94699,36.13,36.13,37.10,12.26,1.028,0.362
95203,36.13,36.13,37.42,12.26,1.013,0.347
95707,36.13,36.13,37.42,12.26,1.028,0.347
96210,37.01,36.13,37.10,12.26,1.013,0.347
96714,37.01,36.13,37.42,12.26,1.028,0.362
97218,35.26,36.13,37.26,12.26,1.028,0.362
97722,36.13,35.26,37.42,12.26,1.013,0.347
98226,36.13,36.13,37.42,12.22,1.013,0.347
98729,36.13,35.26,37.42,12.26,1.013,0.332
99233,36.13,36.13,37.42,12.26,1.028,0.347
99737,36.13,36.13,37.10,12.26,1.028,0.362
100241,37.01,35.26,37.42,12.24,1.013,0.347
100745,36.13,36.13,36.94,12.26,1.013,0.347
101249,37.01,36.13,37.26,12.26,1.013,0.347
101752,36.13,36.13,37.42,12.22,1.028,0.362
102256,37.01,36.13,37.26,12.26,1.013,0.347
102760,37.01,35.26,36.94,12.26,1.013,0.347
103264,37.01,36.13,37.26,12.26,1.028,0.347
103768,35.26,36.13,37.10,12.26,1.013,0.347
104271,37.01,36.13,37.42,12.26,1.013,0.347
104775,37.01,35.26,36.94,12.26,1.013,0.347
105279,37.01,36.13,37.42,12.26,1.028,0.347
105783,37.01,36.13,36.94,12.26,1.028,0.362
106287,37.01,36.13,37.26,12.26,1.028,0.347
106790,37.01,36.13,37.42,12.26,1.043,0.347
107294,37.01,36.13,37.10,12.26,1.013,0.347
107798,36.13,36.13,37.10,12.26,1.013,0.347
